101,Lady Fern,Atbyrium filix-femina,2,9,5,SH
102,Pink Caladiums,C.x bortulanum,10,10,6,PtoSH
103,Lily-of-the-Valley,Convallaria majalis,2,8,5,PtoSH
105,Purple Liatris,Liatris spicata,3,9,6,StoP
106,Black Eyed Susan,Rudbeckia fulgida var. specios,4,10,2,StoP
107,Nikko Blue Hydrangea,Hydrangea macrophylla,5,9,4,StoSH
108,Variegated Weigela,W. florida Variegata,4,9,8,StoP
110,Lombardy Poplar,Populus nigra Italica,3,9,9,S
111,Purple Leaf Plum Hedge,Prunus x cistena,2,8,7,S
114,Thorndale Ivy,Hedera belix Thorndale,3,9,1,StoSH
